,광역시도명,시군구명,계절성,요일성,성별 편향,30대 이하,30 - 50대,50대 이상,소계(남녀합계)/sum/mean,소멸지수
29,부산광역시,수영구,6.360000000000013,-6.510000000000019,-25.929999999999982,266.02,369.6,403.28,5130.26,0.925
30,부산광역시,연제구,-8.814999999999998,14.050000000000011,-18.230000000000018,262.38,351.68,417.87,4988.11,1.162
31,부산광역시,영도구,-0.75,3.5,-2.0,126.68,149.73,261.79,2677.34,0.5489999999999999
32,부산광역시,중구,5.289999999999992,-0.35999999999999943,-5.329999999999998,93.53,155.68,219.03,2363.09,1.374
33,부산광역시,해운대구,8.884999999999991,-6.189999999999998,-24.359999999999985,391.13,468.08,507.88,6557.39,1.142
34,서울특별시,강남구,83.09000000000003,65.72,12.769999999999984,419.0,704.14,549.62,8018.33,1.765
35,서울특별시,강동구,14.60499999999999,6.819999999999991,-3.3600000000000136,278.35,363.19,393.76,4939.21,1.1840000000000002
36,서울특별시,강북구,1.75,1.4900000000000089,-17.72,215.82,251.85,365.06,4115.29,0.992
37,서울특별시,강서구,114.515,22.26000000000002,-2.5,350.4,574.08,522.01,6924.88,1.128
38,서울특별시,관악구,59.15000000000001,4.769999999999982,-1.1299999999999957,223.47,340.66,328.79,4501.9,1.144
39,서울특별시,광진구,13.045000000000016,10.390000000000015,-4.700000000000017,271.95,359.19,357.18,4820.6,1.153
40,서울특별시,구로구,34.17500000000001,27.139999999999986,-1.0999999999999943,318.98,497.56,506.7000000000001,6394.44,1.409
41,서울특별시,금천구,19.03,30.16,20.56,255.26,472.51,478.44,5869.04,1.808
42,서울특별시,노원구,1.6949999999999932,5.490000000000008,-21.789999999999992,366.74,335.48,446.48,5559.73,1.112
43,서울특별시,도봉구,-5.545000000000017,0.9099999999999966,-16.47,211.31,237.52,359.75,3985.23,1.068
44,서울특별시,동대문구,-0.1949999999999932,17.97999999999999,-5.650000000000006,287.26,365.77,448.94,5424.31,1.133
45,서울특별시,동작구,12.455000000000013,11.740000000000007,-7.689999999999998,299.11,400.81,413.24,5483.71,0.959
46,서울특별시,마포구,23.324999999999992,10.97999999999999,-5.110000000000014,326.78,480.61,389.1,5806.72,1.534
47,서울특별시,서대문구,7.335000000000008,15.53,-17.80000000000001,277.87,332.23,373.56,4821.77,1.12
48,서울특별시,서초구,52.27500000000003,45.47999999999999,10.189999999999998,401.69,622.01,554.87,7605.82,1.6869999999999998
49,서울특별시,성동구,16.695000000000018,21.600000000000023,3.119999999999976,220.27,355.24,329.76,4364.44,1.222
50,서울특별시,성북구,1.125,8.799999999999983,-14.680000000000007,278.26,293.85,338.67,4413.74,1.044
51,서울특별시,송파구,21.504999999999995,14.22999999999999,-2.9299999999999784,337.98,467.43,433.12,5880.27,1.328
52,서울특별시,양천구,40.37000000000001,5.740000000000008,-10.689999999999998,347.36,359.5499999999999,408.02,5352.13,1.189
53,서울특별시,영등포구,63.685,30.81,14.140000000000017,312.34,601.62,515.11,6886.59,1.4880000000000002
54,서울특별시,용산구,12.345000000000026,10.590000000000003,10.22999999999999,187.83,353.38,318.76,4159.83,1.1740000000000002
55,서울특별시,은평구,2.0300000000000007,3.2100000000000084,-23.949999999999992,292.43,352.2999999999999,430.46,5228.91,1.12
56,서울특별시,종로구,22.0,24.44,2.6299999999999955,165.22,284.72,302.31,3718.24,1.208
57,서울특별시,중구,14.140000000000017,43.62000000000001,12.810000000000002,144.18,352.15,316.27,3950.35,1.487
58,서울특별시,중랑구,-3.4800000000000177,4.099999999999993,-11.889999999999983,254.38,342.3,429.52,4976.57,1.133
59,울산광역시,남구,-7.875,20.47999999999999,26.960000000000036,408.56,515.6,539.98,6922.85,1.132
60,울산광역시,동구,-2.1599999999999966,18.19,38.96000000000001,287.75,388.13,368.91,4810.21,0.537
61,울산광역시,북구,-5.160000000000026,25.470000000000034,59.31,563.99,715.02,612.25,8573.79,1.022
62,울산광역시,울주군,7.96999999999997,6.849999999999994,56.97999999999999,296.5499999999999,410.06,496.38,5683.99,1.123
63,울산광역시,중구,-7.154999999999973,2.9499999999999886,-8.680000000000009,257.01,282.04,355.05,4263.74,0.977
64,인천광역시,강화군,7.38000000000001,-14.380000000000004,-1.1200000000000043,60.04,75.72,168.54,1532.71,0.7490000000000001
65,인천광역시,계양구,0.2949999999999875,2.9099999999999966,8.590000000000002,271.22,347.85,441.67,5059.7,1.235
66,인천광역시,남동구,4.740000000000009,11.22,8.569999999999991,349.17,454.07000000000005,490.37,6146.59,1.398
67,인천광역시,동구,-1.8900000000000008,6.200000000000002,7.8900000000000015,58.84,79.02000000000002,110.33,1196.67,1.136
68,인천광역시,미추홀구,4.939999999999999,6.229999999999991,4.1200000000000045,238.56,297.4,324.44,4121.14,1.139
69,인천광역시,부평구,4.954999999999983,4.5,-0.5,262.09,342.5900000000001,384.32000000000005,4717.64,1.132
70,인천광역시,서구,6.4650000000000025,18.400000000000006,31.0,340.56,444.66,413.99,5558.38,1.311
71,인천광역시,연수구,2.380000000000024,10.480000000000018,12.790000000000019,442.52,501.54,419.18,6291.41,1.501
72,인천광역시,옹진군,6.945,-6.279999999999998,9.73,24.18,38.62000000000001,62.74,615.39,0.161
73,인천광역시,중구,27.285,-3.990000000000009,51.18000000000001,218.68,392.73,353.9,4548.94,1.596
